history1,history2,question,rewrite,model_output,accuracy,semantic_related
就去灵岩山景区吧 这个景点的最大特点是什么呢,这个景点的特点是爬山好去处 登山顶俯看苏州城景 在灵岩山寺拜佛祈福,灵岩山景区都啥时间对外开放呢,灵岩山景区都啥时间对外开放呢,灵岩山景区的对外开放时间是什么时候,,0
糖在我兜里,给我一块糖,大白兔的吗,大白兔的糖吗,大白兔糖的吗,,0
忘记和你说了 面包甜点类的餐馆亲,那您可以去苏逅咖啡 花园餐厅 他家的面包甜点做的可是一绝,苏逅咖啡 花园餐厅的营业时间是多会儿了 苏逅咖啡 花园餐厅人很多么,苏逅咖啡 花园餐厅的营业时间是多会儿了 苏逅咖啡 花园餐厅人很多么,苏逅咖啡 花园餐厅的营业时间是多会儿了 苏逅咖啡 花园餐厅人很多么,,1
你好 我下周要去南京办事 请你帮我查一下下周六上海的天气怎样,下周六上海晴转多云,下周六上海的温度是多少呢,下周六上海的温度是多少呢,下周六上海的温度是多少呢,,1
苏州吴宫泛太平洋酒店有大床房吗 我想要大床房,大床房有的,苏州吴宫泛太平洋酒店有停车场没,苏州吴宫泛太平洋酒店有停车场没,苏州吴宫泛太平洋酒店有停车场吗,,0
在长岛是有很多的鹅卵石 挺漂亮的,没去过长岛长岛在哪,那儿据说不错我也想去呢,长岛据说不错我也想去呢,长岛据说不错我也想去呢,,1
了解 D710下周日下午上海去北京的车次信息是,D710次动车 从上海出发开至北京南,D710下周日下午上海去北京什么时辰出发,D710下周日下午上海去北京什么时辰出发,D710下周日下午上海去北京的出发时辰是什么,,0
D2282什么时候能到上海,到达时间是当天的21 20,下周三21 20有点晚啊 那D2282一等座的票价是多少钱,下周三21 20有点晚啊 那D2282一等座的票价是多少钱,D2282下周三一等座票价是多少,,0
帮我查一下成都到南京D638二等座的票价是多少啊,票价是 575 0元,帮我查一下成都D638的出发时间是什么时候呢 时长多久呀,帮我查一下成都D638的出发时间是什么时候呢 时长多久呀,成都到南京D638次列车的出发时间是什么时候，时长多久,,0
你认识琴酒吗,非常非常喜欢琴酒这个角色,我喜欢他敲新一闷棍那一幕,我喜欢琴酒敲新一闷棍那一幕,我喜欢琴酒敲新一闷棍那一幕,,1
那豆瓣给我爱我家的评分是多少呀,豆瓣评分9 3 评分可不低呦 这部片子当时很多人都说好,那太好了 我爱我家一共有多少集呢,那太好了 我爱我家一共有多少集呢,那太好了 我爱我家一共有多少集呢,,1
你好 帮我在姑苏区附近找一家便宜的餐厅吧 最好地铁直达 我就不开车了,推荐您去采芝斋,好 采芝斋地址在哪里啊,好 采芝斋地址在哪里啊,采芝斋地址在哪里,,0
哦 差的有点大哦 下周二的上海紫外线强度怎样,也是强的 要注意做好防晒哦,嗯 多带点防晒霜 下周二的上海风也不大吧,嗯 多带点防晒霜 下周二的上海风也不大吧,嗯多带点防晒霜下周二的上海风也不大吧,,1
惠普290 p035rcn的系统是什么,它的系统是Windows10,那惠普290 p035rcn的游戏性能怎么样,那惠普290 p035rcn的游戏性能怎么样,惠普290 p035rcn的游戏性能怎么样,,0
好的 其次晚上我要找个地方住 帮我找一个适合休闲度假的酒店吧,这样的酒店实在太多了 您想找一个价位便宜点的还是贵点的呢,介于便宜和贵之间的酒店吧,介于便宜和贵之间的酒店吧,介于便宜和贵之间的酒店吧,,1
好的 我想问问下周五南京的是什么温度 我看看我需要怎么穿着,当天南京的温度是最高温度11摄氏度 最低温度5摄氏度,清楚了 那帮我查查下周五南京的天气是咋样的啊,清楚了 那帮我查查下周五南京的天气是咋样的啊,下周五南京的天气是咋样的,,0
伊斯塔战灵你知道吗,嗯嗯,她是网络游戏地下城与勇士中的女魔法师,伊斯塔战灵是网络游戏地下城与勇士中的女魔法师,伊斯塔战灵是网络游戏地下城与勇士中的女魔法师,,1
郑斯文是谁,你连自己是谁都不知道了嘛抓狂,我女朋友,我女朋友是郑斯文,郑斯文是谁的女朋友,,0
打狗棍是怎么变成灵魂摆渡的,灵魂摆渡好看吗,因为娘娘编剧才去看的大陆剧里确实算不错的了,因为娘娘编剧才去看的灵魂摆渡大陆剧里确实算不错的了,因为娘娘编剧的打狗棍在大陆剧中确实算不错的了,,0
你好 我想了解上海下周一的天气和温度呢 我要出差去那里,是晴天呢 最高温度10摄氏度 最低温度1摄氏度,下周一上海风大吗,下周一上海风大吗,下周一上海的风大吗,,0
我想知道这个西交利物浦大学的评分高么,评分4 7分 还是不错的,西交利物浦大学地址在哪里呀 我好方便去找,西交利物浦大学地址在哪里呀 我好方便去找,西交利物浦大学地址在哪里呀 我好方便去找,,1
名字不错 理想国一共多少集,一共13集,理想国豆瓣评分呢,理想国豆瓣评分呢,理想国豆瓣评分呢,,1
去镇江旅游必须推荐你吃肴肉啊,镇江有什么好玩的,南山国家森林公园好玩,镇江的南山国家森林公园好玩,镇江南山国家森林公园好玩吗,,0
沃尔玛也有啊,居然知道沃尔玛,对是大商场晚安,对沃尔玛是大商场晚安,大商场沃尔玛晚上好,,0
我朋友来苏州找我玩 想帮他找一家酒店 听说美锦酒店不错 是吗,嗯嗯 他家价格虽然是中等 但是服务和设施都很齐全,美锦酒店有大床房吗 怎么样,美锦酒店有大床房吗 怎么样,美锦酒店有大床房吗，怎么样,,0
你好 我来苏州旅游 想请你推荐一个高新区附近高档次高价位的景点,这里为您推荐苏州市高新区阳山东路以西 山神湾路以东的苏州乐园森林水世界,哦哦 你有苏州乐园森林水世界的电话号吗,哦哦 你有苏州乐园森林水世界的电话号吗,哦哦 你有苏州乐园森林水世界的电话号码吗,,0
村上春树哎,厉害吧,小说都知道,村上春树小说都知道,村上春树的小说都知道,,0
没听见,真的没听见吗,真的,真的没听见,真的没听见吗,,0
假面骑士,假面骑士是什么鬼,是电视剧,假面骑士是电视剧,假面骑士是电视剧,,1
你说李经纬是真的喜欢我吗,还能有谁当然是我啊,你和他很相爱吗,你和李经纬很相爱吗,你和李经纬很相爱吗,,1
剑灵,剑灵没玩过,多好玩一个游戏兄弟几区本性暴露无疑,剑灵是多好玩一个游戏兄弟几区本性暴露无疑,剑灵多好玩一个游戏兄弟几区本性暴露无疑,,0
明天会下雨吗,下雨深圳明天的天气是雷阵雨记得提醒关心的人出门带伞,以后每天早上7,以后每天早上7,以后每天早上7点提醒带伞,,0
你好 我是来苏州办事的 趁这个机会逛逛 有没有便宜点的山水景区呀,你好 推荐你去石湖景区 能代表苏州的山水文化,你的推荐准没错 石湖景区营业时间是什么时候呢 还得看看时间是不是能来得及,你的推荐准没错 石湖景区营业时间是什么时候呢 还得看看时间是不是能来得及,石湖景区营业时间是什么时候呢 还得看看时间是不是能来得及,,0
你觉得罗云熙帅不,我比较喜欢爱笑的男孩 所以不觉得罗云熙丑,他帅不帅,罗云熙帅不帅,罗云熙帅不帅,,1
你好 我想要买一辆SUV 我的主要用途是越野 一般是1个人坐 请帮我推荐一下,你好 符合您要求的车比较多 请问您的预算大概是多少呢,我对SUV的预算是小于15万元,我对SUV的预算是小于15万元,SUV预算小于15万元的越野车型推荐,,0
知道了 那再帮我看看下周日从杭州到广州的航班吧 我可以坐经济舱,有中国国航CA1729 萧山国际机场T1 白云国际机场T1,行 中国国航CA1729经济舱多少钱,行 中国国航CA1729经济舱多少钱,中国国航CA1729经济舱价格是多少,,0
太好啦 对了 中国大陆 最近有什么好看的电视剧啊,最近好看的电视剧是庆余年,那庆余年的主演是吴京吗,那庆余年的主演是吴京吗,庆余年的主演是吴京吗,,0
你好 我第一次来苏州旅游 想在昆山找个好玩的地方 适合和朋友一起的 有好地方推荐吗,我觉得周庄古镇很适合你们去游玩 小桥流水 节奏缓慢 看看风景 放松身心,听着挺不错的 有周庄古镇电话号码吗 有没有地铁可以直接过去,听着挺不错的 有周庄古镇电话号码吗 有没有地铁可以直接过去,听着挺不错的 有周庄古镇电话号码吗 有没有地铁可以直接过去,,1
你好 我刚来苏州想玩几天 帮我在工业园区找一家西北菜餐厅呗,您可以去正宗西北菜馆西贝莜面村哟,太好了 西贝莜面村在哪,太好了 西贝莜面村在哪,西贝莜面村在苏州工业园区的具体位置在哪里,,0
那苏州大学附属理想眼科医院地址是在哪儿,地址是在干将东路200号,苏州大学附属理想眼科医院什么时间可以挂号,苏州大学附属理想眼科医院什么时间可以挂号,苏州大学附属理想眼科医院什么时间可以挂号,,1
我最讨厌晚点了 南方航空CZ3741的准点率是多少啊,准点率是98 32  很可靠,我想让朋友去接我 南方航空CZ3741到达厦门的时间是几点呀,我想让朋友去接我 南方航空CZ3741到达厦门的时间是几点呀,南方航空CZ3741到达厦门的时间是几点,,0
你知道  霍乱时代的爱情么,还没能看到书但电影还是不错的,它的作者是谁,霍乱时代的爱情的作者是谁,霍乱时代的爱情的作者是谁,,1
太好了 你知道宏碁 Acer 墨舞EX215的CPU型号是什么吗,这个电脑的CPU型号是i5 10210U,那宏碁 Acer 墨舞EX215的游戏性能怎么样,那宏碁 Acer 墨舞EX215的游戏性能怎么样,宏碁 Acer 墨舞EX215的游戏性能怎么样,,0
还得问一下 苏州市立医院 东区 有3 0TMRI么,3 0TMRI这家医院现在还没有,这样啊 那苏州市立医院 东区 门诊都什么时间可以去,这样啊 那苏州市立医院 东区 门诊都什么时间可以去,苏州市立医院东区门诊的就诊时间是什么时候,,0
哦哦 好 联想小新Air的价格是多少钱,该产品的价格是5799 0,但是我的预算是5000以内 所以 能帮我再找一个联想电脑吗,但是我的预算是5000以内 所以 能帮我再找一个联想电脑吗,预算5000以内能帮我再找一个联想电脑吗,,0
营口大石桥,营口明天的天气是中雨6度到21度南风4级,明天会下雨,营口明天会下雨吗,明天营口大石桥会下雨吗,,0
你在哪,北京海淀区丹棱街5号来的话我带你尝尝微软食堂最出名的麻辣烫,很好吃吗,微软食堂最出名的麻辣烫很好吃吗,微软食堂的麻辣烫很好吃吗,,0
辅导班的上课时间最好是在周六的下午 我好接送孩子,好的帮您找到 PC5P28056 这个辅导班很符合您的预期,那PC5P28056所在的校区是哪里呢 还有辅导老师是谁呀,那PC5P28056所在的校区是哪里呢 还有辅导老师是谁呀,PC5P28056辅导班所在的校区是哪里，以及该辅导班的辅导老师是谁？,,0
好的 那从成都的起飞时间是几点 我好收拾下行李,起飞时间是当天12 30 中午的时候出发,好的 那到上海的达时间是几点呢,好的 那到上海的达时间是几点呢,好的 那从成都起飞的航班到达上海的时间是几点呢,,0
你好 我们来苏州旅游 听朋友说苏州吴宫泛太平洋酒店挺好的 想了解下他家大床房咋收费的,你好 这家酒店大床房的费用是592元,苏州吴宫泛太平洋酒店的评分是多少啊,苏州吴宫泛太平洋酒店的评分是多少啊,苏州吴宫泛太平洋酒店的评分是多少啊,,1
你喜欢利威尔兵长吗,大爱兵长,他的身高是多少,利威尔兵长的身高是多少,利威尔兵长的身高是多少,,1
东江在哪里,一定要清晨去小东江看雾漫东江,在哪里,东江在哪里,小东江在哪里,,0
喝热水,红糖水呢,那是治肚子疼的,红糖水是治肚子疼的,红糖水是治肚子疼的,,1
MacBookPro13 3的显卡型号是什么,显卡型号属于其他,那MacBookPro13 3显卡类型是什么,那MacBookPro13 3显卡类型是什么,MacBookPro13 3显卡类型是什么,,0
你用的什么啊不会是雅诗兰黛吧,我用神仙水,里面有酵素,神仙水里面有酵素,神仙水里面有酵素吗,,0
16GB的内容容量就可以,推荐你购买联想YOGAC740,联想YOGAC740的特性有什么,联想YOGAC740的特性有什么,联想YOGAC740的特性有什么,,1
张艺兴,其实越来越喜欢张艺兴了哈哈,喜欢,喜欢张艺兴,张艺兴喜欢,,0
2020年了 最近比较喜欢怀旧 想利用空闲时间找一部印度在80年代的优质电影来看 有什么好推荐吗,有没有想看的类型题材呢,想看印度80年代的喜剧片的电影 喜庆一些的,想看印度80年代的喜剧片的电影 喜庆一些的,印度80年代喜庆风格的喜剧片电影,,0
请问下周四D903几点从北京出发,当天20 15出发,下周四D903几点到深圳,下周四D903几点到深圳,下周四D903几点到深圳,,1
哈哈谈到我拿手的话题了我必须说小孩子超喜欢吃果冻的甜甜的,果冻不是零食还能是什么,很不错的零食喜欢好吃,很不错的零食喜欢果冻好吃,果冻是很不错的零食，小孩子特别喜欢，甜甜的很好吃,,0
途铠1 5L自动风尚版的价格是多少,价格是12 79万元,途铠1 5L自动风尚版有没有定速巡航,途铠1 5L自动风尚版有没有定速巡航,途铠1.5L自动风尚版有没有定速巡航,,0
